,tpr,fpr
0,0.0,0.0
1,0.8559322033898306,0.01278772378516624
2,0.864406779661017,0.01278772378516624
3,0.8813559322033898,0.01278772378516624
4,0.8983050847457628,0.017902813299232736
5,0.8983050847457628,0.020460358056265986
6,0.8983050847457628,0.020460358056265986
7,0.8983050847457628,0.020460358056265986
8,0.8983050847457628,0.020460358056265986
9,0.8983050847457628,0.020460358056265986
10,0.9152542372881356,0.020460358056265986
11,0.9152542372881356,0.020460358056265986
12,0.9152542372881356,0.020460358056265986
13,0.923728813559322,0.023017902813299233
14,0.9322033898305084,0.023017902813299233
15,0.9322033898305084,0.023017902813299233
16,0.9322033898305084,0.02557544757033248
17,0.9322033898305084,0.02557544757033248
18,0.9322033898305084,0.02557544757033248
19,1.0,1.0
